PLAYER_ID,PLAYER_NAME,PLAYER_TEAM_ID,PLAYER_TEAM_TRICODE,HOME_FLAG,GAME_ID,ROW_KEY,GAME_DATE,HOME_TEAM_ID,HOME_TEAM_TRICODE,HOME_TEAM_POINTS,AWAY_TEAM_ID,AWAY_TEAM_TRICODE,AWAY_TEAM_POINTS,POINT_MARGIN,GAME_TOTAL_POINTS,HOME_TEAM_WIN_FLAG,PLAYER_TEAM_WIN_FLAG,GAME_STATUS,GAME_TIME_UTC,ARENA_NAME,ARENA_CITY,ARENA_STATE,POSITION,HEIGHT,EXP,minutes,minutes_SECONDS,DNP_FLAG,GAMES_PLAYED_FLAG,fieldGoalsMade,fieldGoalsAttempted,fieldGoalsPercentage,threePointersMade,threePointersAttempted,threePointersPercentage,freeThrowsMade,freeThrowsAttempted,freeThrowsPercentage,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints,estimatedOffensiveRating_ADV,offensiveRating_ADV,estimatedDefensiveRating_ADV,defensiveRating_ADV,estimatedNetRating_ADV,netRating_ADV,assistPercentage_ADV,assistToTurnover_ADV,assistRatio_ADV,offensiveReboundPercentage_ADV,defensiveReboundPercentage_ADV,reboundPercentage_ADV,turnoverRatio_ADV,effectiveFieldGoalPercentage_ADV,trueShootingPercentage_ADV,usagePercentage_ADV,estimatedUsagePercentage_ADV,estimatedPace_ADV,pace_ADV,pacePer40_ADV,possessions_ADV,PIE_ADV,usagePercentage_USAGE,percentageFieldGoalsMade_USAGE,percentageFieldGoalsAttempted_USAGE,percentageThreePointersMade_USAGE,percentageThreePointersAttempted_USAGE,percentageFreeThrowsMade_USAGE,percentageFreeThrowsAttempted_USAGE,percentageReboundsOffensive_USAGE,percentageReboundsDefensive_USAGE,percentageReboundsTotal_USAGE,percentageAssists_USAGE,percentageTurnovers_USAGE,percentageSteals_USAGE,percentageBlocks_USAGE,percentageBlocksAllowed_USAGE,percentagePersonalFouls_USAGE,percentagePersonalFoulsDrawn_USAGE,percentagePoints_USAGE,effectiveFieldGoalPercentage_TEAM,freeThrowAttemptRate_TEAM,teamTurnoverPercentage_TEAM,offensiveReboundPercentage_TEAM,oppEffectiveFieldGoalPercentage_TEAM,oppFreeThrowAttemptRate_TEAM,oppTeamTurnoverPercentage_TEAM,oppOffensiveReboundPercentage_TEAM,REFEREE_1_ID,REFEREE_2_ID,REFEREE_3_ID,REFEREE_1_NAME,REFEREE_2_NAME,REFEREE_3_NAME,INGESTED_AT_UTC,LOAD_BATCH_ID
1629130,Duncan Robinson,1610612765,DET,TRUE,22500953,0022500953_1629130,2026-03-12,1610612765,DET,131,1610612755,PHI,109,22,240,TRUE,TRUE,Final,2026-03-12T23:00:00Z,Little Caesars Arena,Detroit,MI,Forward,6-7,7,24:44,1484,FALSE,TRUE,7,10,0.7,5,7,0.714,0,0,0.0,0,2,2,4,1,0,1,0,19,18.0,130.9,130.9,98.2,98.2,32.7,32.7,0.211,4.0,26.7,0.0,0.067,0.04,6.7,0.95,0.95,0.18,0.18,106.74,106.74,88.95,55.0,0.181,0.18,0.269,0.217,0.625,0.389,0.0,0.0,0.0,0.1,0.083,0.2,0.111,0.333,0.0,0.25,0.0,0.111,0.264,0.618,0.247,0.165,0.317,0.511,0.267,0.157,0.3,1146,202007,1628485,Tony Brothers,Nick Buchert,JD Ralls,2026-03-14 05:20:56.820234 UTC,20260314052056
202699,Tobias Harris,1610612765,DET,TRUE,22500953,0022500953_202699,2026-03-12,1610612765,DET,131,1610612755,PHI,109,22,240,TRUE,TRUE,Final,2026-03-12T23:00:00Z,Little Caesars Arena,Detroit,MI,Forward,6-8,14,21:40,1300,FALSE,TRUE,6,11,0.545,2,3,0.667,1,1,1.0,1,4,5,2,1,0,1,2,15,18.0,134.0,134.0,93.8,93.8,40.3,40.3,0.105,2.0,14.3,0.059,0.16,0.119,7.1,0.636,0.656,0.231,0.231,105.23,105.23,87.69,47.0,0.133,0.231,0.24,0.262,0.286,0.2,0.167,0.143,0.333,0.25,0.263,0.095,0.143,0.333,0.0,0.333,0.286,0.2,0.238,0.618,0.247,0.165,0.317,0.511,0.267,0.157,0.3,1146,202007,1628485,Tony Brothers,Nick Buchert,JD Ralls,2026-03-14 05:20:56.820234 UTC,20260314052056
1631105,Jalen Duren,1610612765,DET,TRUE,22500953,0022500953_1631105,2026-03-12,1610612765,DET,131,1610612755,PHI,109,22,240,TRUE,TRUE,Final,2026-03-12T23:00:00Z,Little Caesars Arena,Detroit,MI,Center,6-10,3,14:51,891,FALSE,TRUE,6,7,0.857,0,0,0.0,2,3,0.667,3,7,10,2,0,1,0,4,14,21.0,151.6,151.6,78.8,78.8,72.8,72.8,0.154,0.0,20.0,0.231,0.389,0.323,0.0,0.857,0.841,0.222,0.222,103.43,103.43,86.2,31.0,0.259,0.222,0.316,0.219,0.0,0.0,0.5,0.6,0.75,0.538,0.588,0.143,0.0,0.0,1.0,0.25,0.8,0.667,0.298,0.618,0.247,0.165,0.317,0.511,0.267,0.157,0.3,1146,202007,1628485,Tony Brothers,Nick Buchert,JD Ralls,2026-03-14 05:20:56.820234 UTC,20260314052056
1631204,Marcus Sasser,1610612765,DET,TRUE,22500953,0022500953_1631204,2026-03-12,1610612765,DET,131,1610612755,PHI,109,22,240,TRUE,TRUE,Final,2026-03-12T23:00:00Z,Little Caesars Arena,Detroit,MI,Guard,6-1,2,22:31,1351,FALSE,TRUE,2,9,0.222,1,4,0.25,1,1,1.0,0,0,0,3,0,0,1,1,6,23.0,137.3,137.3,94.0,94.0,43.3,43.3,0.12,3.0,23.1,0.0,0.0,0.0,7.7,0.278,0.318,0.175,0.175,107.65,107.65,89.71,51.0,0.0,0.175,0.074,0.2,0.111,0.235,0.143,0.125,0.0,0.0,0.0,0.13,0.111,0.0,0.0,0.333,0.125,0.143,0.086,0.618,0.247,0.165,0.317,0.511,0.267,0.157,0.3,1146,202007,1628485,Tony Brothers,Nick Buchert,JD Ralls,2026-03-14 05:20:56.820234 UTC,20260314052056
1630595,Cade Cunningham,1610612765,DET,TRUE,22500953,0022500953_1630595,2026-03-12,1610612765,DET,131,1610612755,PHI,109,22,240,TRUE,TRUE,Final,2026-03-12T23:00:00Z,Little Caesars Arena,Detroit,MI,Guard,6-6,4,28:23,1703,FALSE,TRUE,3,6,0.5,0,2,0.0,2,2,1.0,0,5,5,13,2,1,4,1,8,27.0,135.5,135.5,90.5,90.5,45.0,45.0,0.481,3.25,54.2,0.0,0.152,0.096,16.7,0.5,0.581,0.167,0.167,105.7,105.7,88.08,62.0,0.154,0.167,0.1,0.122,0.0,0.1,0.143,0.133,0.0,0.25,0.217,0.5,0.364,0.333,0.5,0.0,0.111,0.1,0.095,0.618,0.247,0.165,0.317,0.511,0.267,0.157,0.3,1146,202007,1628485,Tony Brothers,Nick Buchert,JD Ralls,2026-03-14 05:20:56.820234 UTC,20260314052056
1630191,Isaiah Stewart,1610612765,DET,TRUE,22500953,0022500953_1630191,2026-03-12,1610612765,DET,131,1610612755,PHI,109,22,240,TRUE,TRUE,Final,2026-03-12T23:00:00Z,Little Caesars Arena,Detroit,MI,Forward-Center,6-8,5,20:47,1247,FALSE,TRUE,5,5,1.0,0,0,0.0,3,3,1.0,0,5,5,4,0,2,2,4,13,9.0,121.7,121.7,106.8,106.8,14.9,14.9,0.286,2.0,33.3,0.0,0.25,0.139,16.7,1.0,1.028,0.16,0.16,103.93,103.93,86.61,46.0,0.195,0.16,0.263,0.143,0.0,0.0,0.25,0.25,0.0,0.385,0.313,0.286,0.25,0.0,0.667,0.0,0.4,0.222,0.232,0.618,0.247,0.165,0.317,0.511,0.267,0.157,0.3,1146,202007,1628485,Tony Brothers,Nick Buchert,JD Ralls,2026-03-14 05:20:56.820234 UTC,20260314052056
1641842,Ronald Holland II,1610612765,DET,TRUE,22500953,0022500953_1641842,2026-03-12,1610612765,DET,131,1610612755,PHI,109,22,240,TRUE,TRUE,Final,2026-03-12T23:00:00Z,Little Caesars Arena,Detroit,MI,Forward,6-8,1,25:10,1510,FALSE,TRUE,4,7,0.571,0,3,0.0,7,7,1.0,1,2,3,0,1,0,4,3,15,-7.0,107.5,107.5,123.1,123.1,-15.5,-15.5,0.0,0.0,0.0,0.043,0.087,0.065,30.8,0.571,0.744,0.217,0.217,100.13,100.13,83.44,53.0,0.082,0.217,0.19,0.159,0.0,0.176,0.7,0.7,0.167,0.154,0.158,0.0,0.444,0.167,0.0,0.0,0.231,0.556,0.263,0.618,0.247,0.165,0.317,0.511,0.267,0.157,0.3,1146,202007,1628485,Tony Brothers,Nick Buchert,JD Ralls,2026-03-14 05:20:56.820234 UTC,20260314052056
1628989,Kevin Huerter,1610612765,DET,TRUE,22500953,0022500953_1628989,2026-03-12,1610612765,DET,131,1610612755,PHI,109,22,240,TRUE,TRUE,Final,2026-03-12T23:00:00Z,Little Caesars Arena,Detroit,MI,Guard-Forward,6-6,7,26:12,1572,FALSE,TRUE,4,13,0.308,2,7,0.286,2,2,1.0,2,2,4,4,2,0,0,1,12,7.0,121.8,121.8,111.1,111.1,10.7,10.7,0.211,0.0,22.2,0.087,0.077,0.082,0.0,0.385,0.432,0.226,0.226,99.85,99.85,83.21,55.0,0.101,0.226,0.174,0.283,0.333,0.368,0.133,0.133,0.333,0.143,0.2,0.235,0.0,0.286,0.0,0.5,0.091,0.167,0.179,0.618,0.247,0.165,0.317,0.511,0.267,0.157,0.3,1146,202007,1628485,Tony Brothers,Nick Buchert,JD Ralls,2026-03-14 05:20:56.820234 UTC,20260314052056
1642450,Daniss Jenkins,1610612765,DET,TRUE,22500953,0022500953_1642450,2026-03-12,1610612765,DET,131,1610612755,PHI,109,22,240,TRUE,TRUE,Final,2026-03-12T23:00:00Z,Little Caesars Arena,Detroit,MI,Guard,6-4,1,19:37,1177,FALSE,TRUE,3,5,0.6,0,1,0.0,0,0,0.0,0,2,2,3,0,1,3,1,6,-5.0,111.9,111.9,126.8,126.8,-14.9,-14.9,0.2,1.0,27.3,0.0,0.118,0.051,27.3,0.6,0.6,0.157,0.157,101.55,101.55,84.62,42.0,0.062,0.157,0.167,0.125,0.0,0.067,0.0,0.0,0.0,0.2,0.118,0.273,0.5,0.0,0.2,0.2,0.091,0.0,0.128,0.618,0.247,0.165,0.317,0.511,0.267,0.157,0.3,1146,202007,1628485,Tony Brothers,Nick Buchert,JD Ralls,2026-03-14 05:20:56.820234 UTC,20260314052056
1629750,Javonte Green,1610612765,DET,TRUE,22500953,0022500953_1629750,2026-03-12,1610612765,DET,131,1610612755,PHI,109,22,240,TRUE,TRUE,Final,2026-03-12T23:00:00Z,Little Caesars Arena,Detroit,MI,Guard,6-5,6,19:01,1141,FALSE,TRUE,5,8,0.625,4,6,0.667,3,3,1.0,1,1,2,1,3,0,0,1,17,20.0,146.3,146.3,100.0,100.0,46.3,46.3,0.063,0.0,10.0,0.063,0.059,0.061,0.0,0.875,0.912,0.188,0.188,102.23,102.23,85.19,41.0,0.213,0.188,0.238,0.216,0.571,0.353,0.273,0.273,0.167,0.091,0.118,0.067,0.0,0.5,0.0,0.0,0.111,0.25,0.283,0.618,0.247,0.165,0.317,0.511,0.267,0.157,0.3,1146,202007,1628485,Tony Brothers,Nick Buchert,JD Ralls,2026-03-14 05:20:56.820234 UTC,20260314052056
